"Reporting starts","Reporting ends","Campaign name",Age,Gender,"Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (VND)",Impressions,Reach,Ends,"Attribution setting","Total messaging contacts","New messaging contacts","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (VND)","Messaging conversations started","Cost per messaging conversation started (VND)","Clicks (all)"
2026-03-01,2026-04-01,llinhhai,25-34,female,active,10,actions:onsite_conversion.lead_grouped,109196.5,230000,Daily,1091965,7594,5008,Ongoing,"7-day click or 1-day view",21,19,,,57471.842105,20,54598.25,197
2026-03-01,2026-04-01,llinhhai,25-34,male,active,16,actions:onsite_conversion.lead_grouped,106767.3125,230000,Daily,1708277,19749,12048,Ongoing,"7-day click or 1-day view",33,30,,,56942.566667,31,55105.709677,861
2026-03-01,2026-04-01,llinhhai,25-34,unknown,active,,,,230000,Daily,46576,274,175,Ongoing,"7-day click or 1-day view",,,,,,,,10
2026-03-01,2026-04-01,llinhhai,35-44,female,active,1,actions:onsite_conversion.lead_grouped,264219,230000,Daily,264219,1248,863,Ongoing,"7-day click or 1-day view",3,2,,,132109.5,2,132109.5,68
2026-03-01,2026-04-01,llinhhai,35-44,male,active,2,actions:onsite_conversion.lead_grouped,178082.5,230000,Daily,356165,2877,1823,Ongoing,"7-day click or 1-day view",2,2,,,178082.5,2,178082.5,117
2026-03-01,2026-04-01,llinhhai,35-44,unknown,active,,,,230000,Daily,2990,27,22,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-03-01,2026-04-01,llinhhai,45-54,female,active,,,,230000,Daily,80772,373,268,Ongoing,"7-day click or 1-day view",,,,,,,,14
2026-03-01,2026-04-01,llinhhai,45-54,male,active,1,actions:onsite_conversion.lead_grouped,98177,230000,Daily,98177,621,426,Ongoing,"7-day click or 1-day view",3,3,,,32725.666667,3,32725.666667,41
2026-03-01,2026-04-01,llinhhai,45-54,unknown,active,,,,230000,Daily,1894,9,5,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,llinhhai,55-64,female,active,,,,230000,Daily,30405,129,84,Ongoing,"7-day click or 1-day view",,,,,,,,5
2026-03-01,2026-04-01,llinhhai,55-64,male,active,,,,230000,Daily,35013,139,88,Ongoing,"7-day click or 1-day view",,,,,,,,14
2026-03-01,2026-04-01,llinhhai,55-64,unknown,active,,,,230000,Daily,107,2,2,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,llinhhai,65+,female,active,,,,230000,Daily,13924,88,50,Ongoing,"7-day click or 1-day view",1,,,,,1,13924,2
2026-03-01,2026-04-01,llinhhai,65+,male,active,,,,230000,Daily,19257,186,113,Ongoing,"7-day click or 1-day view",,,,,,,,14
2026-03-01,2026-04-01,llinhhai,65+,unknown,active,,,,230000,Daily,815,4,2,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,hocboianh,25-34,female,inactive,1,actions:onsite_conversion.messaging_conversation_started_7d,180942,170000,Daily,180942,2141,925,Ongoing,"7-day click or 1-day view",1,1,,,180942,1,180942,60
2026-03-01,2026-04-01,hocboianh,25-34,male,inactive,,,,170000,Daily,36169,725,350,Ongoing,"7-day click or 1-day view",,,,,,,,28
2026-03-01,2026-04-01,hocboianh,25-34,unknown,inactive,,,,170000,Daily,3691,22,10,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,hocboianh,35-44,female,inactive,,,,170000,Daily,146818,1951,889,Ongoing,"7-day click or 1-day view",,,,,,,,49
2026-03-01,2026-04-01,hocboianh,35-44,male,inactive,,,,170000,Daily,51237,699,323,Ongoing,"7-day click or 1-day view",,,,,,,,12
2026-03-01,2026-04-01,hocboianh,35-44,unknown,inactive,,,,170000,Daily,1360,29,8,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,hocboianh,45-54,female,inactive,,,,170000,Daily,21887,278,148,Ongoing,"7-day click or 1-day view",,,,,,,,11
2026-03-01,2026-04-01,hocboianh,45-54,male,inactive,,,,170000,Daily,8640,140,66,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,hocboianh,45-54,unknown,inactive,,,,170000,Daily,59,2,1,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,hocboianh,55-64,female,inactive,,,,170000,Daily,21331,189,88,Ongoing,"7-day click or 1-day view",,,,,,,,8
2026-03-01,2026-04-01,hocboianh,55-64,male,inactive,,,,170000,Daily,7982,61,30,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-03-01,2026-04-01,hocboianh,65+,female,inactive,,,,170000,Daily,13983,64,36,Ongoing,"7-day click or 1-day view",,,,,,,,6
2026-03-01,2026-04-01,hocboianh,65+,male,inactive,,,,170000,Daily,920,17,14,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,hocboianh,65+,unknown,inactive,,,,170000,Daily,93,3,1,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,hocboivid,25-34,female,active,41,actions:onsite_conversion.messaging_conversation_started_7d,58670.7804878,201002,Daily,2405502,23013,9227,Ongoing,"7-day click or 1-day view",42,39,,,61679.538462,41,58670.780488,729
2026-03-01,2026-04-01,hocboivid,25-34,male,active,8,actions:onsite_conversion.messaging_conversation_started_7d,56920.875,201002,Daily,455367,5325,2008,Ongoing,"7-day click or 1-day view",8,8,,,56920.875,8,56920.875,211
2026-03-01,2026-04-01,hocboivid,25-34,unknown,active,2,actions:onsite_conversion.messaging_conversation_started_7d,11364,201002,Daily,22728,131,67,Ongoing,"7-day click or 1-day view",3,2,,,11364,2,11364,7
